OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,openjpa,kernel,QueryImpl$PackingResultObjectProvider,next();11;1091555;;;org,apache,openjpa,kernel,StateManagerImpl,isLoading();10;1975;;-1;-1089580;-55168,6075949367
org,apache,openjpa,kernel,StateManagerImpl,isLoading();10;1580;;;org,apache,openjpa,jdbc,meta,ClassMapping,getObjectId(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result,org,apache,openjpa,jdbc,schema,ForeignKey,boolean,org,apache,openjpa,jdbc,sql,Joins);10;567705;;0;566125;99,7216864393
org,apache,openjpa,jdbc,meta,ClassMapping,getObjectId(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result,org,apache,openjpa,jdbc,schema,ForeignKey,boolean,org,apache,openjpa,jdbc,sql,Joins);10;822913;;;org,apache,openjpa,kernel,StateManagerImpl,loadFields(java,util,BitSet,org,apache,openjpa,kernel,FetchConfiguration,int,java,lang,Object);10;19358;;0;-803555;-4151,0228329373
org,apache,openjpa,kernel,StateManagerImpl,loadFields(java,util,BitSet,org,apache,openjpa,kernel,FetchConfiguration,int,java,lang,Object);10;27260;;;org,apache,openjpa,jdbc,meta,ClassMapping,getEmbeddingMapping();10;1975;;0;-25285;-1280,253164557
org,apache,openjpa,jdbc,meta,ClassMapping,getEmbeddingMapping();10;2370;;;org,apache,openjpa,kernel,StateManagerImpl,obtainLocks(boolean,boolean,int,org,apache,openjpa,kernel,FetchConfiguration,java,lang,Object);10;17777;;0;15407;86,6681667323
org,apache,openjpa,kernel,StateManagerImpl,obtainLocks(boolean,boolean,int,org,apache,openjpa,kernel,FetchConfiguration,java,lang,Object);10;21333;;;org,apache,openjpa,jdbc,identifier,DBIdentifier,isEmpty(org,apache,openjpa,jdbc,identifier,DBIdentifier);10;8297;;0;-13036;-157,1170302519
org,apache,openjpa,jdbc,identifier,DBIdentifier,isEmpty(org,apache,openjpa,jdbc,identifier,DBIdentifier);10;6320;;;org,apache,openjpa,jdbc,sql,DBDictionary,getLong(java,sql,ResultSet,int);10;161976;;0;155656;96,0981873858
org,apache,openjpa,jdbc,sql,DBDictionary,getLong(java,sql,ResultSet,int);10;163161;;;org,apache,openjpa,kernel,StateManagerImpl,getManagedInstance();10;1976;;0;-161185;-8157,1356275304
org,apache,openjpa,kernel,StateManagerImpl,getManagedInstance();10;2370;;;org,apache,openjpa,jdbc,sql,DBDictionary,getString(java,sql,ResultSet,int);10;193581;;0;191211;98,7757062935
org,apache,openjpa,jdbc,sql,DBDictionary,getString(java,sql,ResultSet,int);10;182519;;;org,apache,openjpa,jdbc,sql,AbstractResult,load(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Joins);10;2480593;;0;2298074;92,6421222667
